dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_bin,atemp_bin,hum_bin,windspeed_bin
2011-01-05,Springer,2011,January,1AM,No,Wednesday,Weekday,Clear,6.5600000000000005,9.85,74.0,6.0032,0,6,6,Very Cold,Very Cold,High,Very Low
2011-01-05,Springer,2011,January,2AM,No,Wednesday,Weekday,Clear,6.5600000000000005,9.85,74.0,6.0032,0,2,2,Very Cold,Very Cold,High,Very Low
2011-01-05,Springer,2011,January,4AM,No,Wednesday,Weekday,Clear,9.84,11.365,48.0,15.001299999999999,0,2,2,Cold,Cold,Normal,Low
2011-01-05,Springer,2011,January,5AM,No,Wednesday,Weekday,Clear,9.02,11.365,47.0,11.0014,0,3,3,Cold,Cold,Normal,Very Low
2011-01-05,Springer,2011,January,6AM,No,Wednesday,Weekday,Clear,8.200000000000001,9.85,47.0,15.001299999999999,0,33,33,Very Cold,Very Cold,Normal,Low
2011-01-05,Springer,2011,January,7AM,No,Wednesday,Weekday,Clear,7.38,9.09,43.0,12.998000000000001,1,87,88,Very Cold,Very Cold,Normal,Low
2011-01-05,Springer,2011,January,8AM,No,Wednesday,Weekday,Clear,8.200000000000001,9.09,40.0,19.999499999999998,3,192,195,Very Cold,Very Cold,Low,Low
2011-01-05,Springer,2011,January,9AM,No,Wednesday,Weekday,Clear,9.02,9.85,37.0,22.0028,6,109,115,Cold,Very Cold,Low,Low
2011-01-05,Springer,2011,January,10AM,No,Wednesday,Weekday,Clear,9.02,9.85,37.0,22.0028,4,53,57,Cold,Very Cold,Low,Low
2011-01-05,Springer,2011,January,11AM,No,Wednesday,Weekday,Clear,10.66,11.365,33.0,22.0028,12,34,46,Cold,Cold,Low,Low
2011-01-05,Springer,2011,January,12PM,No,Wednesday,Weekday,Clear,10.66,11.365,33.0,22.0028,5,74,79,Cold,Cold,Low,Low
2011-01-05,Springer,2011,January,1PM,No,Wednesday,Weekday,Clear,11.48,12.879999999999999,30.0,19.999499999999998,6,65,71,Cold,Cold,Low,Low
2011-01-05,Springer,2011,January,2PM,No,Wednesday,Weekday,Clear,12.299999999999999,14.395,28.000000000000004,12.998000000000001,10,52,62,Cold,Cold,Low,Low
2011-01-05,Springer,2011,January,3PM,No,Wednesday,Weekday,Clear,12.299999999999999,14.395,28.000000000000004,12.998000000000001,7,55,62,Cold,Cold,Low,Low
2011-01-05,Springer,2011,January,4PM,No,Wednesday,Weekday,Clear,12.299999999999999,15.909999999999998,28.000000000000004,6.0032,4,85,89,Cold,Cold,Low,Very Low
2011-01-05,Springer,2011,January,5PM,No,Wednesday,Weekday,Clear,9.84,11.365,38.0,12.998000000000001,4,186,190,Cold,Cold,Low,Low
2011-01-05,Springer,2011,January,6PM,No,Wednesday,Weekday,Clear,9.84,12.120000000000001,38.0,8.9981,3,166,169,Cold,Cold,Low,Very Low
2011-01-05,Springer,2011,January,7PM,No,Wednesday,Weekday,Clear,9.84,12.879999999999999,38.0,7.0015,5,127,132,Cold,Cold,Low,Very Low
2011-01-05,Springer,2011,January,8PM,No,Wednesday,Weekday,Clear,9.02,11.365,47.0,11.0014,7,82,89,Cold,Cold,Normal,Very Low
2011-01-05,Springer,2011,January,9PM,No,Wednesday,Weekday,Clear,8.200000000000001,9.85,51.0,12.998000000000001,3,40,43,Very Cold,Very Cold,Normal,Low
2011-01-05,Springer,2011,January,10PM,No,Wednesday,Weekday,Clear,7.38,9.85,55.00000000000001,8.9981,1,41,42,Very Cold,Very Cold,Normal,Very Low
2011-01-05,Springer,2011,January,11PM,No,Wednesday,Weekday,Clear,8.200000000000001,12.879999999999999,47.0,0.0,1,18,19,Very Cold,Cold,Normal,Very Low
2011-01-06,Springer,2011,January,12AM,No,Thursday,Weekday,Clear,7.38,12.120000000000001,55.00000000000001,0.0,0,11,11,Very Cold,Cold,Normal,Very Low
2011-01-06,Springer,2011,January,1AM,No,Thursday,Weekday,Clear,6.5600000000000005,11.365,64.0,0.0,0,4,4,Very Cold,Cold,High,Very Low
2011-01-06,Springer,2011,January,2AM,No,Thursday,Weekday,Clear,6.5600000000000005,11.365,64.0,0.0,0,2,2,Very Cold,Cold,High,Very Low
2011-01-06,Springer,2011,January,4AM,No,Thursday,Weekday,Mist,6.5600000000000005,9.85,64.0,6.0032,0,1,1,Very Cold,Very Cold,High,Very Low
2011-01-06,Springer,2011,January,5AM,No,Thursday,Weekday,Mist,5.74,9.09,69.0,6.0032,0,4,4,Very Cold,Very Cold,High,Very Low
2011-01-06,Springer,2011,January,6AM,No,Thursday,Weekday,Mist,5.74,8.334999999999999,63.0,7.0015,0,36,36,Very Cold,Very Cold,High,Very Low
2011-01-06,Springer,2011,January,7AM,No,Thursday,Weekday,Mist,6.5600000000000005,11.365,59.0,0.0,0,95,95,Very Cold,Cold,Normal,Very Low
2011-01-06,Springer,2011,January,8AM,No,Thursday,Weekday,Clear,6.5600000000000005,11.365,59.0,0.0,3,216,219,Very Cold,Cold,Normal,Very Low
2011-01-06,Springer,2011,January,9AM,No,Thursday,Weekday,Mist,7.38,12.120000000000001,51.0,0.0,6,116,122,Very Cold,Cold,Normal,Very Low
2011-01-06,Springer,2011,January,10AM,No,Thursday,Weekday,Clear,8.200000000000001,12.879999999999999,47.0,0.0,3,42,45,Very Cold,Cold,Normal,Very Low
2011-01-06,Springer,2011,January,11AM,No,Thursday,Weekday,Clear,9.02,12.879999999999999,44.0,6.0032,2,57,59,Cold,Cold,Normal,Very Low
2011-01-06,Springer,2011,January,12PM,No,Thursday,Weekday,Clear,10.66,14.395,35.0,0.0,6,78,84,Cold,Cold,Low,Very Low
2011-01-06,Springer,2011,January,1PM,No,Thursday,Weekday,Clear,10.66,13.635,35.0,7.0015,12,55,67,Cold,Cold,Low,Very Low
2011-01-06,Springer,2011,January,2PM,No,Thursday,Weekday,Clear,11.48,13.635,36.0,11.0014,11,59,70,Cold,Cold,Low,Very Low
2011-01-06,Springer,2011,January,3PM,No,Thursday,Weekday,Clear,11.48,13.635,36.0,0.0,8,54,62,Cold,Cold,Low,Very Low
2011-01-06,Springer,2011,January,4PM,No,Thursday,Weekday,Clear,10.66,12.879999999999999,38.0,11.0014,12,74,86,Cold,Cold,Low,Very Low
2011-01-06,Springer,2011,January,5PM,No,Thursday,Weekday,Clear,9.02,11.365,51.0,11.0014,9,163,172,Cold,Cold,Normal,Very Low
2011-01-06,Springer,2011,January,6PM,No,Thursday,Weekday,Clear,9.02,11.365,51.0,8.9981,5,158,163,Cold,Cold,Normal,Very Low
2011-01-06,Springer,2011,January,7PM,No,Thursday,Weekday,Clear,9.02,12.879999999999999,55.00000000000001,6.0032,3,109,112,Cold,Cold,Normal,Very Low
2011-01-06,Springer,2011,January,8PM,No,Thursday,Weekday,Clear,8.200000000000001,10.605,51.0,11.0014,3,66,69,Very Cold,Cold,Normal,Very Low
2011-01-06,Springer,2011,January,9PM,No,Thursday,Weekday,Mist,9.02,10.605,55.00000000000001,15.001299999999999,0,48,48,Cold,Cold,Normal,Low
2011-01-06,Springer,2011,January,10PM,No,Thursday,Weekday,Mist,9.02,10.605,51.0,19.0012,1,51,52,Cold,Cold,Normal,Low
2011-01-06,Springer,2011,January,11PM,No,Thursday,Weekday,Mist,8.200000000000001,9.85,59.0,12.998000000000001,4,19,23,Very Cold,Very Cold,Normal,Low
2011-01-07,Springer,2011,January,12AM,No,Friday,Weekday,Mist,8.200000000000001,9.85,64.0,12.998000000000001,4,13,17,Very Cold,Very Cold,High,Low
2011-01-07,Springer,2011,January,1AM,No,Friday,Weekday,Mist,8.200000000000001,9.85,69.0,15.001299999999999,2,5,7,Very Cold,Very Cold,High,Low
2011-01-07,Springer,2011,January,2AM,No,Friday,Weekday,Mist,8.200000000000001,9.85,69.0,15.001299999999999,0,1,1,Very Cold,Very Cold,High,Low
2011-01-07,Springer,2011,January,4AM,No,Friday,Weekday,Mist,8.200000000000001,10.605,69.0,8.9981,0,1,1,Very Cold,Cold,High,Very Low
2011-01-07,Springer,2011,January,5AM,No,Friday,Weekday,Light Snow,9.02,13.635,55.00000000000001,0.0,0,5,5,Cold,Cold,Normal,Very Low
2011-01-07,Springer,2011,January,6AM,No,Friday,Weekday,Mist,8.200000000000001,12.879999999999999,69.0,0.0,8,26,34,Very Cold,Cold,High,Very Low
2011-01-07,Springer,2011,January,7AM,No,Friday,Weekday,Clear,8.200000000000001,10.605,69.0,8.9981,8,76,84,Very Cold,Cold,High,Very Low
2011-01-07,Springer,2011,January,8AM,No,Friday,Weekday,Clear,8.200000000000001,9.85,51.0,16.997899999999998,20,190,210,Very Cold,Very Cold,Normal,Low
2011-01-07,Springer,2011,January,9AM,No,Friday,Weekday,Clear,8.200000000000001,9.09,47.0,19.999499999999998,9,125,134,Very Cold,Very Cold,Normal,Low
2011-01-07,Springer,2011,January,10AM,No,Friday,Weekday,Clear,9.02,9.85,37.0,22.0028,16,47,63,Cold,Very Cold,Low,Low
2011-01-07,Springer,2011,January,11AM,No,Friday,Weekday,Mist,8.200000000000001,9.85,40.0,15.001299999999999,19,48,67,Very Cold,Very Cold,Low,Low
2011-01-07,Springer,2011,January,12PM,No,Friday,Weekday,Mist,8.200000000000001,9.85,37.0,16.997899999999998,9,50,59,Very Cold,Very Cold,Low,Low
2011-01-07,Springer,2011,January,1PM,No,Friday,Weekday,Mist,8.200000000000001,9.09,37.0,19.0012,9,64,73,Very Cold,Very Cold,Low,Low
2011-01-07,Springer,2011,January,2PM,No,Friday,Weekday,Mist,8.200000000000001,9.85,40.0,16.997899999999998,7,43,50,Very Cold,Very Cold,Low,Low
2011-01-07,Springer,2011,January,3PM,No,Friday,Weekday,Mist,8.200000000000001,10.605,37.0,11.0014,9,63,72,Very Cold,Cold,Low,Very Low
2011-01-07,Springer,2011,January,4PM,No,Friday,Weekday,Mist,8.200000000000001,10.605,37.0,11.0014,5,82,87,Very Cold,Cold,Low,Very Low
2011-01-07,Springer,2011,January,5PM,No,Friday,Weekday,Mist,8.200000000000001,12.879999999999999,37.0,0.0,9,178,187,Very Cold,Cold,Low,Very Low
2011-01-07,Springer,2011,January,6PM,No,Friday,Weekday,Clear,8.200000000000001,11.365,40.0,6.0032,7,116,123,Very Cold,Cold,Low,Very Low
2011-01-07,Springer,2011,January,7PM,No,Friday,Weekday,Clear,6.5600000000000005,9.85,55.00000000000001,6.0032,3,92,95,Very Cold,Very Cold,Normal,Very Low
2011-01-07,Springer,2011,January,8PM,No,Friday,Weekday,Clear,7.38,10.605,47.0,7.0015,1,50,51,Very Cold,Cold,Normal,Very Low
2011-01-07,Springer,2011,January,9PM,No,Friday,Weekday,Clear,7.38,9.85,47.0,8.9981,0,39,39,Very Cold,Very Cold,Normal,Very Low
2011-01-07,Springer,2011,January,10PM,No,Friday,Weekday,Mist,7.38,9.85,43.0,11.0014,2,34,36,Very Cold,Very Cold,Normal,Very Low
2011-01-07,Springer,2011,January,11PM,No,Friday,Weekday,Mist,7.38,9.85,51.0,11.0014,1,14,15,Very Cold,Very Cold,Normal,Very Low
2011-01-08,Springer,2011,January,12AM,No,Saturday,Weekend,Mist,7.38,9.85,51.0,11.0014,1,24,25,Very Cold,Very Cold,Normal,Very Low
2011-01-08,Springer,2011,January,1AM,No,Saturday,Weekend,Mist,7.38,10.605,55.00000000000001,6.0032,1,15,16,Very Cold,Cold,Normal,Very Low
2011-01-08,Springer,2011,January,2AM,No,Saturday,Weekend,Mist,7.38,12.120000000000001,55.00000000000001,0.0,3,13,16,Very Cold,Cold,Normal,Very Low
2011-01-08,Springer,2011,January,3AM,No,Saturday,Weekend,Light Snow,7.38,9.85,55.00000000000001,11.0014,0,7,7,Very Cold,Very Cold,Normal,Very Low
2011-01-08,Springer,2011,January,4AM,No,Saturday,Weekend,Light Snow,7.38,9.85,55.00000000000001,11.0014,0,1,1,Very Cold,Very Cold,Normal,Very Low
2011-01-08,Springer,2011,January,5AM,No,Saturday,Weekend,Mist,6.5600000000000005,8.334999999999999,74.0,11.0014,0,5,5,Very Cold,Very Cold,High,Very Low
2011-01-08,Springer,2011,January,6AM,No,Saturday,Weekend,Mist,6.5600000000000005,8.334999999999999,74.0,11.0014,0,2,2,Very Cold,Very Cold,High,Very Low
2011-01-08,Springer,2011,January,7AM,No,Saturday,Weekend,Mist,6.5600000000000005,9.09,74.0,7.0015,1,8,9,Very Cold,Very Cold,High,Very Low
2011-01-08,Springer,2011,January,8AM,No,Saturday,Weekend,Light Snow,6.5600000000000005,9.09,93.0,7.0015,0,15,15,Very Cold,Very Cold,Very High,Very Low
2011-01-08,Springer,2011,January,9AM,No,Saturday,Weekend,Light Snow,6.5600000000000005,9.09,93.0,7.0015,0,20,20,Very Cold,Very Cold,Very High,Very Low
2011-01-08,Springer,2011,January,10AM,No,Saturday,Weekend,Mist,7.38,9.85,80.0,11.0014,5,56,61,Very Cold,Very Cold,High,Very Low
